Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2019-09-20,1635.3348388671875,1180.702392578125,202.31082153320312,1230.2498779296875,1900.292236328125
2019-09-23,1764.2724609375,1237.4442138671875,216.58860778808594,1215.39111328125,1854.612548828125
2019-09-24,1728.2091064453125,1234.0487060546875,217.56594848632812,1254.132080078125,1881.2012939453125
2019-09-25,1714.4100341796875,1220.1707763671875,210.38458251953125,1254.9659423828125,1921.452880859375
2019-09-26,1733.151123046875,1222.9266357421875,212.80670166015625,1271.88427734375,1920.671142578125
2019-09-27,1738.3870849609375,1224.599853515625,214.97386169433594,1283.8990478515625,1891.736083984375
2019-09-30,1724.5391845703125,1208.1136474609375,220.8379364013672,1306.6534423828125,1931.435546875
2019-10-01,1728.40478515625,1229.12744140625,217.48097229003906,1279.8287353515625,1895.232177734375
2019-10-03,1711.6209716796875,1204.2752685546875,222.36770629882812,1285.860595703125,1895.5079345703125
2019-10-04,1687.5948486328125,1170.9583740234375,218.6282958984375,1282.9671630859375,1913.0806884765625
2019-10-07,1688.3289794921875,1168.2025146484375,214.0814971923828,1284.9288330078125,1883.96142578125
2019-10-09,1735.5980224609375,1208.802734375,210.00213623046875,1299.29736328125,1858.568603515625
2019-10-10,1740.6380615234375,1181.6375732421875,206.68763732910156,1336.567138671875,1844.169677734375
2019-10-11,1752.0394287109375,1179.9151611328125,207.32504272460938,1326.6123046875,1827.977294921875
2019-10-14,1760.3089599609375,1185.4268798828125,207.45252990722656,1331.9085693359375,1859.3966064453125
2019-10-15,1764.6151123046875,1203.7830810546875,210.42706298828125,1337.9404296875,1874.393310546875
2019-10-16,1728.013427734375,1201.8636474609375,207.07008361816406,1345.9827880859375,1882.7652587890625
2019-10-17,1773.61865234375,1200.781005859375,208.93978881835938,1369.6688232421875,1905.8028564453125
2019-10-18,1777.9736328125,1209.639404296875,209.49220275878906,1389.137451171875,1930.5760498046875
2019-10-22,1742.203857421875,1219.777099609375,211.53187561035156,1386.979736328125,1924.9925537109375
2019-10-23,1729.67724609375,1222.040771484375,213.35911560058594,1365.6475830078125,1942.5404052734375
2019-10-24,1752.2840576171875,1216.62744140625,211.65936279296875,1408.851318359375,1953.7071533203125
2019-10-25,1757.960205078125,1209.639404296875,210.51206970214844,1403.7020263671875,1994.010498046875
2019-10-27,1754.3392333984375,1218.2021484375,212.80670166015625,1406.693359375,1985.3306884765625
2019-10-29,1775.5272216796875,1222.9266357421875,215.2288360595703,1438.8634033203125,2059.603759765625
2019-10-30,1785.7239990234375,1228.6844482421875,220.45550537109375,1450.681884765625,2113.982177734375
2019-10-31,1774.2525634765625,1210.968017578125,218.96824645996094,1436.215087890625,2129.79443359375
2019-11-01,1731.8472900390625,1220.5152587890625,222.0702362060547,1428.9083251953125,2065.280029296875
2019-11-04,1751.0155029296875,1217.3656005859375,221.6028289794922,1429.6439208984375,2058.7587890625
2019-11-05,1758.81005859375,1219.973876953125,223.43003845214844,1419.4927978515625,2066.172119140625
2019-11-06,1762.48681640625,1236.8536376953125,222.1127471923828,1407.3310546875,2053.644287109375
2019-11-07,1791.2635498046875,1243.792724609375,225.93714904785156,1430.5758056640625,2050.6884765625
2019-11-08,1759.7906494140625,1235.8203125,221.39036560058594,1417.7274169921875,1998.7022705078125
2019-11-11,1739.298828125,1244.8260498046875,220.4980010986328,1400.367431640625,1971.4892578125
2019-11-13,1735.8673095703125,1237.7396240234375,215.73873901367188,1444.012451171875,2044.3546142578125
2019-11-14,1737.2398681640625,1253.8319091796875,215.78123474121094,1434.64599609375,2061.43310546875
2019-11-15,1726.3076171875,1257.7689208984375,213.0191650390625,1442.59033203125,2040.46044921875
2019-11-18,1705.0316162109375,1242.168701171875,213.10415649414062,1431.1640625,2019.9564208984375
2019-11-19,1687.7261962890625,1251.863525390625,211.871826171875,1480.742919921875,1978.8558349609375
2019-11-20,1689.8343505859375,1253.2906494140625,213.06166076660156,1517.9146728515625,1978.6209716796875
2019-11-21,1686.745849609375,1263.133056640625,208.8123321533203,1508.0579833984375,1987.5826416015625
2019-11-22,1649.8802490234375,1244.8260498046875,210.46954345703125,1516.786865234375,1944.04150390625
2019-11-25,1677.2843017578125,1251.0760498046875,210.55453491210938,1531.5477294921875,1953.238037109375
2019-11-26,1676.8922119140625,1254.9639892578125,211.7443389892578,1530.272705078125,1920.535400390625
2019-11-27,1681.8436279296875,1258.2611083984375,209.87466430664062,1539.688232421875,1927.7138671875
2019-11-28,1681.1080322265625,1245.3675537109375,209.6621856689453,1549.9373779296875,1949.3436279296875
2019-11-29,1672.8233642578125,1254.8653564453125,209.40721130371094,1521.3475341796875,1926.7286376953125
2019-12-02,1704.296142578125,1245.810302734375,208.1749267578125,1556.0184326171875,1896.512939453125
2019-12-03,1702.5313720703125,1235.62353515625,207.4100341796875,1548.564453125,1924.6171875
2019-12-04,1686.697021484375,1231.9324951171875,206.6451416015625,1522.8677978515625,1950.4227294921875
2019-12-05,1682.3336181640625,1225.977783203125,209.87466430664062,1521.0533447265625,1990.585693359375
2019-12-06,1683.1182861328125,1226.4207763671875,206.81512451171875,1525.0255126953125,1992.743896484375
2019-12-09,1692.628662109375,1223.3695068359375,205.2003631591797,1542.38525390625,1933.4849853515625
2019-12-10,1679.6865234375,1229.81640625,200.22865295410156,1531.940185546875,1888.8182373046875
2019-12-11,1704.2470703125,1229.078125,201.9283905029297,1532.3814697265625,1916.078125
